Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Genre
2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),192120,77,Classic Rock / Soft Rock
4Wui4miiL1JR3QqWcbcKwD,Love Me Like You Do,Ellie Goulding,恋したくなるラブソング,253520,23,Pop
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,Evolve,204346,85,Alternative Rock / Indie Rock
0dLbrlAVPPjpPqnYfmJsWk,Tera Hone Laga Hoon,"Atif Aslam, Alisha Chinai, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),299827,67,"bollywood, hindi pop, desi, sufi, qawwali"
2xJCMIJfcNYDc5iR0sAm2O,New Rules,Dua Lipa,Dua Lipa (Complete Edition),209320,59,pop
58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,"Kina, Adriana Proenza",Can We Kiss Forever?,187931,70,Lo-Fi / Chill
4n7jnSxVLd8QioibtTDBDq,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,193797,72,Pop Rock
7HExkRyYBly0RMz47kzgS5,Hasi Ban Gaye,"Ami Mishra, Kunaal Vermaa, KASYAP, VIBIE",Hasi Ban Gaye,165499,57,"bollywood, hindi pop"
3ySVdXje5nm31d7vL3jNV3,Galliyan,"Ankit Tiwari, Manoj Muntashir",Ek Villain,340399,62,"bollywood, hindi pop, desi"
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),"Drake, J. Cole",For All The Dogs,247444,74,"rap, hip hop"
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),176579,81,pop
5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,Without Me,201660,49,Pop Rock
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,247160,87,Pop Rock
56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,"Mithoon, Arijit Singh",Aashiqui 2,261974,76,"bollywood, hindi pop, desi"
5PvwPy5eRO8BPwpRzCHK3D,Sunn Raha Hai (Male Version),Ankit Tiwari,Aashiqui 2,390222,72,"bollywood, hindi pop, desi"
7BqHUALzNBTanL6OvsqmC1,Happier,"Marshmello, Bastille",Happier,214289,82,edm
